"competencia","qtd_dispensada"
2019-01-01,3660
2019-02-01,3198
2019-03-01,1638
2019-04-01,1880
2019-05-01,4761
2019-06-01,4236
2019-07-01,5534
2019-08-01,4672
2019-09-01,4917
2019-10-01,5230
2019-11-01,4239
2019-12-01,4254
2020-01-01,4453
2020-02-01,3964
2020-03-01,4751
2020-04-01,4227
2020-05-01,4327
2020-06-01,5004
2020-07-01,5177
2020-08-01,4782
2020-09-01,5570
2020-10-01,5368
2020-11-01,4828
2020-12-01,4755
2021-01-01,5092
2021-02-01,5195
2021-03-01,5201
2021-04-01,5245
2021-05-01,5521
2021-06-01,5318
2021-07-01,5543
2021-08-01,5347
2021-09-01,4322
2021-10-01,4699
2021-11-01,5363
2021-12-01,5362
