"competencia","qtd_dispensada"
2019-01-01,6411
2019-02-01,7169
2019-03-01,7133
2019-04-01,7325
2019-05-01,7397
2019-06-01,7170
2019-07-01,7411
2019-08-01,7598
2019-09-01,7278
2019-10-01,7145
2019-11-01,7731
2019-12-01,7778
2020-01-01,7761
2020-02-01,8086
2020-03-01,8305
2020-04-01,8788
2020-05-01,9251
2020-06-01,9561
2020-07-01,9764
2020-08-01,10125
2020-09-01,9965
2020-10-01,9640
2020-11-01,10164
2020-12-01,10544
2021-01-01,10763
2021-02-01,11163
2021-03-01,12100
2021-04-01,12135
2021-05-01,13426
2021-06-01,12664
2021-07-01,9347
2021-08-01,11751
2021-09-01,15007
2021-10-01,15222
2021-11-01,15001
2021-12-01,15346
